Entity,Code,Year,Renewables (TWh growth – sub method)
Africa,,1966,4.457
Africa,,1967,1.891
Africa,,1968,7.633
Africa,,1969,8.785
Africa,,1970,15.36
Africa,,1971,-4.036
Africa,,1972,10.058
Africa,,1973,4.771
Africa,,1974,12.018
Africa,,1975,5.689
Africa,,1976,11.369
Africa,,1977,11.486
Africa,,1978,1.067
Africa,,1979,9.067
Africa,,1980,-3.465
Africa,,1981,5.256
Africa,,1982,0.087
Africa,,1983,-13.792
Africa,,1984,-2.092
Africa,,1985,13.874
Africa,,1986,5.794
Africa,,1987,-5.805
Africa,,1988,12.514
Africa,,1989,7.427
Africa,,1990,3.131
Africa,,1991,9.498
Africa,,1992,-7.653
Africa,,1993,-3.012
Africa,,1994,2.284
Africa,,1995,6.593
Africa,,1996,7.744
Africa,,1997,4.624
Africa,,1998,8.691
Africa,,1999,11.175
Africa,,2000,14.733
Africa,,2001,14.958
Africa,,2002,10.301
Africa,,2003,-6.647
Africa,,2004,12.386
Africa,,2005,3.035
Africa,,2006,9.157
Africa,,2007,5.415
Africa,,2008,4.328
Africa,,2009,6.749
Africa,,2010,21.113
Africa,,2011,7.563
Africa,,2012,1.207
Africa,,2013,18.506
Africa,,2014,23.089
Africa,,2015,6.205
Africa,,2016,-2.535
Africa,,2017,27.037
Africa,,2018,27.191
Africa,,2019,36.354
Algeria,DZA,1966,-0.125
Algeria,DZA,1967,0.153
Algeria,DZA,1968,0.425
Algeria,DZA,1969,-0.561
Algeria,DZA,1970,0.608
Algeria,DZA,1971,-0.694
Algeria,DZA,1972,0.458
Algeria,DZA,1973,0.714
Algeria,DZA,1974,-0.708
Algeria,DZA,1975,-0.469
Algeria,DZA,1976,0.169
Algeria,DZA,1977,-0.333
Algeria,DZA,1978,-0.053
Algeria,DZA,1979,0.114
Algeria,DZA,1980,-0.094
Algeria,DZA,1981,0.303
Algeria,DZA,1982,0.314
Algeria,DZA,1983,-0.678
Algeria,DZA,1984,0.603
Algeria,DZA,1985,0.539
Algeria,DZA,1986,-1.1
Algeria,DZA,1987,0.692
Algeria,DZA,1988,-0.878
Algeria,DZA,1989,0.119
Algeria,DZA,1990,-0.253
Algeria,DZA,1991,0.439
Algeria,DZA,1992,-0.261
Algeria,DZA,1993,0.428
Algeria,DZA,1994,-0.519
Algeria,DZA,1995,0.075
Algeria,DZA,1996,-0.161
Algeria,DZA,1997,-0.167
Algeria,DZA,1998,0.389
Algeria,DZA,1999,-0.033
Algeria,DZA,2000,-0.414
Algeria,DZA,2001,0.04
Algeria,DZA,2002,-0.034
Algeria,DZA,2003,0.566
Algeria,DZA,2004,-0.042
Algeria,DZA,2005,0.814
Algeria,DZA,2006,-0.912
Algeria,DZA,2007,0.019
Algeria,DZA,2008,0.147
Algeria,DZA,2009,0.15
Algeria,DZA,2010,-0.422
Algeria,DZA,2011,0.552
Algeria,DZA,2012,0.044
Algeria,DZA,2013,-0.744
Algeria,DZA,2014,0.32
Algeria,DZA,2015,-0.085
Algeria,DZA,2016,0.283
Algeria,DZA,2017,0.602
Algeria,DZA,2018,0.367
Algeria,DZA,2019,0.108
Argentina,ARG,1966,0.044
Argentina,ARG,1967,0.083
Argentina,ARG,1968,0.631
Argentina,ARG,1969,-0.428
Argentina,ARG,1970,0.718
Argentina,ARG,1971,-0.024
Argentina,ARG,1972,-0.071
Argentina,ARG,1973,4.096
