Entity,Code,Year,Oil Consumption - EJ,Gas Consumption - EJ,Coal Consumption - EJ,Solar Consumption - EJ,Hydro Consumption - EJ,Nuclear Consumption - EJ,Wind Consumption - EJ,Geo Biomass Other - EJ,Biofuels (TWh)
Africa,,1965,325.9006371,9.543761935,323.4963972,0,38.62679528,0,0,0,0
Africa,,1966,356.7096297,10.66992474,323.1224519,0,43.08337929,0,0,0,0
Africa,,1967,353.8333206,10.54567804,330.2918489,0,44.97402587,0,0,0,0
Africa,,1968,373.3943452,10.68897835,343.5131856,0,52.60654365,0,0,0,0
Africa,,1969,378.5362677,12.49200979,346.6431989,0,61.39140917,0,0,0,0
Africa,,1970,418.4069643,15.52033742,360.7571881,0,76.75125533,0,0,0,0
Africa,,1971,473.0408371,18.40527842,383.0126252,0,72.25947699,0,0,0.45555592,0
Africa,,1972,512.7272658,24.67067666,384.2111106,0,82.31450034,0,0,0.4583337,0
Africa,,1973,551.4413746,39.55182307,408.9106805,0,87.07147952,0,0,0.4722226,0
Africa,,1974,570.0294273,44.518523,425.6465668,0,99.07528562,0,0,0.4861115,0
Africa,,1975,596.4245609,53.63842038,451.0808645,0,104.7722226,0,0,0.47777816,0
Africa,,1976,662.2096618,60.98143874,481.0745409,0,116.1046297,0,0,0.5138893,0
Africa,,1977,701.1046336,68.2342455,491.6988485,0,127.5800135,0,0,0.52500042,0
Africa,,1978,738.154265,97.36997571,477.8159652,0,128.6304883,0,0,0.5416671,0
Africa,,1979,787.1318892,148.842935,507.2474022,0,137.6813129,0,0,0.55833378,0
Africa,,1980,832.8757351,186.9141267,543.5574943,0,134.1995083,0,0,0.57500046,0
Africa,,1981,886.3779958,228.4913388,635.799292,0,139.4248506,0,0,0.60555604,0
Africa,,1982,930.5405334,246.7337461,701.1764435,0,139.4618814,0,0,0.65555608,0
Africa,,1983,962.1474724,271.275564,713.2466178,0,125.6866563,0,0,0.6388894,0
Africa,,1984,982.6383255,259.9029884,762.8984821,0,123.5833581,10.9027865,0,0.65000052,0
Africa,,1985,1004.732065,278.8429701,787.1665191,0,137.3603461,14.7639007,0,0.74722282,0
Africa,,1986,989.8467066,313.2714532,805.3567407,0,142.070595,24.45279734,0,1.83055702,0
Africa,,1987,1039.88941,323.3846159,828.3203949,0,136.2680543,17.13056926,0,1.82777924,0
