Entity,Code,Year,Oil Consumption - EJ,Gas Consumption - EJ,Coal Consumption - EJ,Solar Consumption -EJ
Saudi Arabia,SAU,1965,229.1357328,6.004004803,0,0
Saudi Arabia,SAU,1966,231.1017793,7.220005776,0,0
Saudi Arabia,SAU,1967,233.0678259,8.697256958,0,0
Saudi Arabia,SAU,1968,235.0587355,10.45950837,0,0
Saudi Arabia,SAU,1969,237.0707088,12.59226007,0,0
Saudi Arabia,SAU,1970,247.4941505,15.36151229,0,0
Saudi Arabia,SAU,1971,250.4565988,12.81551025,0,0
Saudi Arabia,SAU,1972,267.6437814,14.52551162,0,0
Saudi Arabia,SAU,1973,283.9005806,17.10001368,0,0
Saudi Arabia,SAU,1974,297.7130078,21.64101731,0,0
Saudi Arabia,SAU,1975,227.516035,25.7450206,0,0
Saudi Arabia,SAU,1976,265.002267,27.79227223,0,0
Saudi Arabia,SAU,1977,306.6512528,39.11153129,0,0
Saudi Arabia,SAU,1978,331.4044952,53.93154315,0,0
Saudi Arabia,SAU,1979,400.6286073,66.21505297,0,0
Saudi Arabia,SAU,1980,327.5635936,92.3780739,0,0
Saudi Arabia,SAU,1981,393.5510719,107.7110862,0,0
Saudi Arabia,SAU,1982,438.017003,114.1615913,0,0
Saudi Arabia,SAU,1983,486.5344288,111.4730892,0,0
Saudi Arabia,SAU,1984,542.4234937,172.9001383,0,0
Saudi Arabia,SAU,1985,551.1467459,178.6001429,0,0
Saudi Arabia,SAU,1986,545.2719235,239.4001915,0,0
Saudi Arabia,SAU,1987,577.1510232,254.6002037,0,0
Saudi Arabia,SAU,1988,593.8375517,276.4502212,0,0
Saudi Arabia,SAU,1989,573.4582317,283.1002265,0,0
Saudi Arabia,SAU,1990,609.9100313,318.4402548,0,0
Saudi Arabia,SAU,1991,638.3502653,334.1152673,0,0
Saudi Arabia,SAU,1992,618.3943095,363.3752907,0,0
Saudi Arabia,SAU,1993,622.483328,380.3803043,0,0
Saudi Arabia,SAU,1994,753.2660423,406.3153251,0,0
Saudi Arabia,SAU,1995,722.1714404,407.8353263,0,0
Saudi Arabia,SAU,1996,746.6834728,421.8953375,0,0
Saudi Arabia,SAU,1997,759.5709229,430.7303446,0,0
Saudi Arabia,SAU,1998,807.7876329,444.7903558,0,0
Saudi Arabia,SAU,1999,836.5566437,438.9003511,0,0
Saudi Arabia,SAU,2000,861.7103095,473.1953786,0,0
Saudi Arabia,SAU,2001,912.2114032,510.055408,0.091765425,0
Saudi Arabia,SAU,2002,942.6142627,538.6504309,0.144202811,0
Saudi Arabia,SAU,2003,998.4632979,570.5704565,0.183530851,0
Saudi Arabia,SAU,2004,1078.349667,623.9604992,0.163866831,0
Saudi Arabia,SAU,2005,1137.405382,676.7805414,0.325321542,0
Saudi Arabia,SAU,2006,1185.747716,697.8800583,0.230534413,0
Saudi Arabia,SAU,2007,1258.171817,706.9905656,0.645176487,0
Saudi Arabia,SAU,2008,1378.742471,764.1806113,0.74641997,0.00160761
Saudi Arabia,SAU,2009,1513.809772,745.2755962,0.273474077,0.001597686
Saudi Arabia,SAU,2010,1643.221524,832.7706662,0.786029861,0.010661512
Saudi Arabia,SAU,2011,1679.510459,876.4707012,0.746059463,0.012851077
Saudi Arabia,SAU,2012,1765.956842,943.6357549,0.858472109,0.060728685
Saudi Arabia,SAU,2013,1770.192735,950.2857602,1.115972448,0.100010773
Saudi Arabia,SAU,2014,1942.721694,972.6107781,1.929105935,0.107382571
Saudi Arabia,SAU,2015,2015.341563,992.2757938,1.540348212,0.326832851
Saudi Arabia,SAU,2016,1994.587654,1053.170843,1.029083699,0.324898929
Saudi Arabia,SAU,2017,1962.994071,1092.502964,1.371350573,0.388237811
Saudi Arabia,SAU,2018,1906.94118,1121.000897,1.189382678,0.94716233
Saudi Arabia,SAU,2019,1923.385054,1136.443773,1.189382678,4.410250059
